
     0: 00000000     0 NOTYPE  LOCAL  DEFAULT  UND 
   100: 08001028     0 NOTYPE  LOCAL  DEFAULT    2 $t
   101: 08001290     0 NOTYPE  LOCAL  DEFAULT    2 $d
   102: 00000000     0 FILE    LOCAL  DEFAULT  ABS Uart.c
    10: 20000358     0 SECTION LOCAL  DEFAULT   10 .bss
   103: 080012b0     0 NOTYPE  LOCAL  DEFAULT    2 $t
   104: 080012e0     0 NOTYPE  LOCAL  DEFAULT    2 $d
   105: 080012e4     0 NOTYPE  LOCAL  DEFAULT    2 $t
   106: 08001314     0 NOTYPE  LOCAL  DEFAULT    2 $t
   107: 08001368     0 NOTYPE  LOCAL  DEFAULT    2 $d
     1: 08000000     0 SECTION LOCAL  DEFAULT    1 .isr_vector
   108: 0800136c     0 NOTYPE  LOCAL  DEFAULT    2 $t
   109: 08001410     0 NOTYPE  LOCAL  DEFAULT    2 $d
   110: 08001414     0 NOTYPE  LOCAL  DEFAULT    2 $t
   111: 08001424     0 NOTYPE  LOCAL  DEFAULT    2 $t
    11: 20000570     0 SECTION LOCAL  DEFAULT   11 ._user_heap_stack
   112: 0800156c     0 NOTYPE  LOCAL  DEFAULT    2 $d
   113: 08001574     0 NOTYPE  LOCAL  DEFAULT    2 $t
   114: 080015c4     0 NOTYPE  LOCAL  DEFAULT    2 $d
   115: 080015d0     0 NOTYPE  LOCAL  DEFAULT    2 $t
   117: 080016a4     0 NOTYPE  LOCAL  DEFAULT    2 $t
   118: 08001768     0 NOTYPE  LOCAL  DEFAULT    2 $d
   119: 00000000     0 FILE    LOCAL  DEFAULT  ABS crc.c
    12: 00000000     0 SECTION LOCAL  DEFAULT   12 .ARM.attributes
   120: 200004a4     0 NOTYPE  LOCAL  DEFAULT   10 $d
   121: 0800176c     0 NOTYPE  LOCAL  DEFAULT    2 $t
   122: 080017b4     0 NOTYPE  LOCAL  DEFAULT    2 $d
   123: 080017bc     0 NOTYPE  LOCAL  DEFAULT    2 $t
   124: 080017f4     0 NOTYPE  LOCAL  DEFAULT    2 $d
   125: 00000000     0 FILE    LOCAL  DEFAULT  ABS gpio.c
   126: 080017fc     0 NOTYPE  LOCAL  DEFAULT    2 $t
   127: 08001888     0 NOTYPE  LOCAL  DEFAULT    2 $d
   128: 00000000     0 FILE    LOCAL  DEFAULT  ABS main.c
   129: 200004c8     0 NOTYPE  LOCAL  DEFAULT   10 $d
